query_id,relevance_docid,average_score,average_confidence
264014,4647186,2.6,95
264014,7326934,2.2,93
264014,6641238,2.2,92
264014,1804644,2.2,92
264014,684616,2,95
264014,6337909,2,95
264014,3764482,2,95
264014,5611210,2,94
264014,528372,2,94
264014,5635519,2,94
264014,6555322,2,94
264014,96851,2,94
264014,1610714,2,94
264014,3683674,2,94
264014,2223171,2,93
264014,5849270,2,93
264014,447992,2,93
264014,3577344,2,93
264014,4687213,2,93
264014,96854,2,93
264014,96857,2,92.6
264014,4834547,2,92
264014,6105572,2,92
264014,2420367,2,92
264014,684618,2,92
264014,1610711,2,92
264014,1610706,2,92
264014,5950719,2,92
264014,8502491,2,92
264014,7196300,2,92
264014,5328095,2,91
264014,6333841,2,91
264014,3577342,2,91
264014,5950723,2,91
264014,6105566,2,91
264014,5950724,2,91
264014,4239616,2,91
264014,3780879,2,91
264014,3666583,2,90
264014,96859,2,90
264014,1313260,2,90
264014,4125993,2,90
264014,331935,2,90
264014,96855,2,89
264014,2688537,2,88
264014,1163962,2,88
264014,3120993,2,87
264014,5950722,2,
264014,3338827,2,
264014,3666584,1.8,91
264014,4834545,1.8,91
264014,2572557,1.8,90
264014,5635521,1.8,89
264014,331933,1.8,89
264014,1610713,1.8,88
264014,340490,1.8,88
264014,5896177,1.8,86
264014,6501719,1.8,84
264014,4021598,1.8,84
264014,276903,1.8,84
264014,3215992,1.8,83
264014,5950725,1.8,82
264014,8008355,1.8,81
264014,528379,1.8,80
264014,1610710,1.6,90
264014,340485,1.6,85
264014,96852,1.6,83
264014,5063302,1.6,83
264014,2991665,1.6,81
264014,4125994,1.6,74
264014,7317297,1.4,81
264014,3585842,1.4,80
264014,1610712,1.4,76
264014,4615176,1.4,76
264014,5104401,1.4,74
264014,2498165,1.4,73
264014,5063309,1.4,
264014,8531391,1.2,80
264014,3720137,1.2,74
264014,1610708,1.2,72
264014,5587285,1.2,62
264014,4018139,1.2,58
264014,8193533,1.2,
264014,3201487,1,75
264014,1697966,1,68
264014,8531389,1,67
264014,5583426,1,64
264014,96856,1,64
264014,2474341,1,63
264014,3338823,1,58
264014,8310921,1,56
264014,5386314,1,50
264014,5386309,1,44
264014,1610709,0.8,58
264014,4018134,0.8,45.2
264014,2438164,0.6,91
264014,8623794,0.6,
264014,4425760,0.4,60
264014,1444280,0.2,92.6
264014,473960,0.2,88
104861,6351571,2.2,88
104861,3925933,2,94
104861,146170,2,93
104861,5688420,2,93
104861,5248340,2,92
104861,8546162,2,92
104861,5801822,2,92
104861,5150431,2,92
104861,5248341,2,92
104861,1046334,2,92
104861,1313687,2,92
104861,5836442,2,92
104861,5864693,2,91
104861,6585554,2,91
104861,1948963,2,90
104861,7506026,2,90
104861,7506028,2,90
104861,5667474,2,90
104861,459675,2,89
104861,6704672,2,89
104861,629274,2,89
104861,5688417,2,89
104861,2377050,2,89
104861,715676,2,88
104861,459676,2,87
104861,629278,2,87
104861,8259116,2,87
