query_id,relevance_docid,weighted_avg_score
264014,4647186,2.621052632
264014,6641238,2.195652174
264014,1804644,2.195652174
264014,7326934,2.193548387
264014,4834547,2
264014,5611210,2
264014,96854,2
264014,4239616,2
264014,6333841,2
264014,2688537,2
264014,1610714,2
264014,3666583,2
264014,2223171,2
264014,5635519,2
264014,5328095,2
264014,3577342,2
264014,6337909,2
264014,528372,2
264014,5849270,2
264014,3764482,2
264014,5950723,2
264014,96855,2
264014,96851,2
264014,684616,2
264014,96857,2
264014,3120993,2
264014,96859,2
264014,447992,2
264014,6555322,2
264014,6105572,2
264014,3577344,2
264014,2420367,2
264014,3683674,2
264014,4687213,2
264014,684618,2
264014,1313260,2
264014,1610711,2
264014,1610706,2
264014,7196300,2
264014,8502491,2
264014,5950724,2
264014,6105566,2
264014,5950719,2
264014,1163962,2
264014,4125993,2
264014,331935,2
264014,3780879,2
264014,8008355,1.87654321
264014,6501719,1.857142857
264014,3215992,1.855421687
264014,5950725,1.853658537
264014,528379,1.85
264014,276903,1.845238095
264014,5896177,1.837209302
264014,1610713,1.829545455
264014,340490,1.829545455
264014,4021598,1.821428571
264014,5635521,1.820224719
264014,331933,1.820224719
264014,3666584,1.813186813
264014,4834545,1.802197802
264014,2572557,1.8
264014,4125994,1.675675676
264014,2991665,1.654320988
264014,96852,1.638554217
264014,5063302,1.638554217
264014,340485,1.635294118
264014,1610710,1.622222222
264014,2498165,1.506849315
264014,1610712,1.473684211
264014,4615176,1.460526316
264014,5104401,1.459459459
264014,3585842,1.425
264014,7317297,1.419753086
264014,5587285,1.290322581
264014,4018139,1.275862069
264014,8531391,1.225
264014,3720137,1.216216216
264014,1610708,1.194444444
264014,2474341,1
264014,5386309,1
264014,3201487,1
264014,5583426,1
264014,5386314,1
264014,1697966,1
264014,96856,1
264014,8310921,1
264014,8531389,1
264014,3338823,1
264014,1610709,0.931034483
264014,4018134,0.796460177
264014,2438164,0.593406593
264014,473960,0.159090909
264014,1444280,0.151187905
264014,4425760,0.05
264014,5950722,0
264014,3338827,0
264014,8623794,0
264014,5063309,0
264014,8193533,0
104861,6351571,2.204545455
104861,459676,2
104861,459675,2
104861,5864693,2
104861,3925933,2
104861,5248340,2
104861,8546162,2
104861,5801822,2
104861,5150431,2
104861,6704672,2
104861,8259116,2
104861,1948963,2
104861,5248341,2
104861,7506026,2
104861,7506028,2
104861,629274,2
104861,6585554,2
104861,629278,2
104861,5688416,2
104861,146170,2
104861,715676,2
104861,1046334,2
104861,5688417,2
104861,1313687,2
104861,5688420,2
104861,2377050,2
104861,5836442,2
104861,5667474,2
104861,5150438,2
104861,4019224,1.851851852
104861,1811410,1.844155844
104861,2158194,1.840909091
104861,125332,1.833333333
104861,1017092,1.804878049
104861,6187055,1.802197802
104861,8495099,1.692307692
104861,5703401,1.684210526
104861,2600385,1.639534884
104861,2916636,1.639534884
104861,8516149,1.630952381
104861,6200735,1.480519481
104861,1424216,1.459459459
104861,1304632,1.45
104861,4717134,1.445945946
104861,8141081,1.435897436
104861,2958133,1.416666667
104861,5864689,1.405405405
104861,7204477,1.268656716
104861,7186729,1.253521127
104861,5688415,1.246753247
104861,5703400,1.243243243
104861,1995989,1.23943662
104861,8260037,1.231884058
104861,6056677,1.226666667
104861,5607729,1.225
104861,409268,1.223684211
104861,2958127,1.219512195
104861,6658615,1
104861,146178,1
104861,5379458,1
104861,6436838,1
104861,6653676,1
104861,7666364,1
104861,1313691,1
104861,6202527,1
104861,6788423,1
104861,6391586,1
104861,6566321,1
104861,6200737,1
104861,8138536,1
104861,7462393,1
104861,672931,1
104861,6518057,1
104861,4563275,1
104861,6156641,1
104861,5110656,1
104861,8546159,0.794117647
104861,1017085,0.75
104861,8400531,0.731343284
104861,2958131,0.709677419
104861,5073463,0.698412698
104861,5405670,0.666666667
104861,2471336,0.519480519
104861,5670527,0.458579882
104861,3928196,0.441176471
104861,7817767,0.432835821
104861,4197096,0.303797468
104861,5598961,0.274193548
104861,5101716,0.272727273
104861,8546679,0.202898551
104861,4930174,0.179640719
104861,3915516,0.158730159
104861,5778133,0.151515152
104861,4961345,0.050761421
104861,314919,0
104861,6241793,0
104861,8260035,0
104861,1365744,0
104861,4350441,0
104861,8131235,0
130510,8612909,2.614561028
130510,4022904,2.595744681
130510,8612910,2.393617021
130510,1494936,2.208791209
130510,799647,2
130510,8612906,2
130510,8612903,2
130510,1494938,2
130510,8612904,2
130510,8612902,2
130510,8514425,2
130510,1494939,2
130510,1494930,2
130510,6815300,2
130510,4022909,2
130510,7501558,2
130510,5685711,2
130510,6621100,2
130510,4022902,2
130510,4022905,2
130510,2490145,2
130510,7203252,1.858823529
130510,6881820,1.858823529
130510,2862515,1.855421687
130510,5685710,1.823788546
130510,1494935,1.72
130510,7479905,1.679012346
130510,3923091,1.666666667
130510,1481524,1.666666667
130510,2862522,1.662337662
130510,3163980,1.636363636
130510,5930011,1.611764706
130510,7464751,1.574468085
130510,1159414,1.46835443
130510,1494932,1.443037975
130510,996732,1.44
130510,1799013,1.418604651
130510,7501557,1.404494382
130510,2862518,1.38961039
130510,2589317,1.261538462
130510,6035035,1.083333333
130510,2407055,1.013157895
130510,7125239,1.012987013
130510,2174992,1.012987013
130510,996740,1
130510,1110766,1
130510,3995677,1
130510,6881821,1
130510,3913778,1
130510,6542823,1
130510,7792405,1
130510,2589323,1
130510,6881818,0.983050847
130510,2881563,0.756756757
130510,1494933,0.742857143
130510,5930013,0.576086957
130510,1881840,0.55952381
130510,440983,0.555555556
130510,5685706,0.543478261
130510,7708723,0.519480519
130510,1494937,0.494791667
130510,2346969,0.480769231
130510,6486232,0.407523511
130510,2079377,0.320987654
130510,5930018,0.314009662
130510,1494931,0.303030303
130510,6172269,0.26984127
130510,6183638,0.202898551
130510,7997887,0.188888889
130510,8612905,0.177664975
130510,7501563,0.175438596
130510,5685708,0.164835165
130510,6763277,0.154185022
130510,7298862,0.151162791
130510,5415276,0.12195122
130510,4528805,0.121580547
130510,815703,0.09569378
130510,5685704,0.049627792
130510,348429,0.049019608
130510,4189500,0
130510,2079375,0
130510,4089773,0
130510,5930010,0
130510,1047769,0
130510,8095118,0
130510,2961568,0
130510,7696346,0
130510,5791683,0
130510,7603931,0
130510,2490150,0
130510,566525,0
130510,7777478,0
130510,4528808,0
130510,7777480,0
130510,5930015,0
130510,6542827,0
130510,7001679,0
130510,2420310,0
130510,7001677,0
130510,7529548,0
1114819,6900774,2.217391304
1114819,8625086,2.206521739
1114819,8022280,2.204301075
1114819,4890560,2
1114819,5521373,2
1114819,1315998,2
1114819,6941478,2
1114819,785027,2
1114819,8115440,2
1114819,5628952,2
1114819,8088111,2
1114819,1419798,2
1114819,1419801,2
1114819,785028,2
1114819,2590453,2
1114819,8508255,2
1114819,5165249,2
1114819,1738242,2
1114819,7803429,2
1114819,1724528,2
1114819,8336232,2
1114819,8115435,2
1114819,8115439,2
1114819,6900769,2
1114819,694735,2
1114819,988378,2
1114819,1852066,2
1114819,1315994,2
1114819,988370,2
1114819,344350,2
1114819,3781419,2
1114819,8579830,2
1114819,988369,2
1114819,2926432,2
1114819,2590455,2
1114819,8115706,2
1114819,1002627,2
1114819,812436,2
1114819,461344,2
1114819,3144706,2
1114819,752644,2
1114819,1724520,1.968085106
1114819,7786792,1.847058824
1114819,1851540,1.844444444
1114819,8096824,1.835294118
1114819,862869,1.835294118
1114819,3781418,1.815217391
1114819,5718417,1.813953488
1114819,5019830,1.778947368
1114819,5156171,1.670886076
1114819,5342188,1.662337662
1114819,8115434,1.659090909
1114819,6951105,1.644444444
1114819,783080,1.619047619
1114819,5019832,1.608695652
1114819,6202321,1.604395604
1114819,8321012,1.595505618
1114819,1315993,1.578947368
1114819,2831393,1.574468085
1114819,8115703,1.574468085
1114819,3353671,1.574468085
1114819,3906952,1.565217391
1114819,8754397,1.56043956
1114819,7156443,1.555555556
1114819,8480574,1.486111111
1114819,5363582,1.470588235
1114819,8088109,1.43902439
1114819,8579832,1.435897436
1114819,8754398,1.388235294
1114819,1009500,1.259259259
1114819,8754403,1.243243243
1114819,7132894,1.227848101
1114819,8024894,1.227272727
1114819,5703157,1.208791209
1114819,1735443,1.188235294
1114819,8022279,1
1114819,8754395,1
1114819,8336223,1
1114819,1315997,1
1114819,988375,1
1114819,8754399,1
1114819,8336231,1
1114819,126884,1
1114819,1724523,0.753246753
1114819,8754400,0.753246753
1114819,2192058,0.724233983
1114819,1816958,0.5375
1114819,4064011,0.455882353
1114819,771719,0.290237467
1114819,8022277,0.219178082
1114819,988373,0
1114819,6900773,0
1114819,6900767,0
1114819,3906954,0
1114819,8754404,0
