query_id,relevance_docid,confidence,score
23849,2647769,100,3
23849,8010561,95,2
23849,7119957,95,2
23849,178252,95,2
23849,5888570,90,2
23849,4834498,90,2
23849,7311204,90,2
23849,1739455,90,2
23849,188246,85,2
23849,4348282,85,2
23849,8062904,85,2
23849,8769995,80,2
23849,6722889,80,2
23849,2183977,80,2
23849,8752783,80,2
23849,3513239,80,2
23849,188190,80,2
23849,8246990,90,1
23849,5885925,80,1
23849,799642,80,1
23849,8501571,80,1
23849,8466742,80,1
23849,7087828,80,1
23849,1827512,75,1
23849,886103,75,1
23849,4141983,75,1
23849,522359,75,1
23849,2540071,75,1
23849,244830,75,1
23849,8059826,70,1
23849,542113,70,1
23849,436721,70,1
23849,2017213,70,1
23849,6440050,70,1
23849,7060905,70,1
23849,5529682,70,1
23849,7084426,70,1
23849,7088689,70,1
23849,2210428,70,1
23849,653142,70,1
23849,2491823,65,1
23849,336778,65,1
23849,2516458,60,1
23849,4482145,60,1
23849,1333480,60,1
23849,2039331,60,1
23849,6054726,60,1
23849,1622747,60,1
23849,964148,60,1
23849,5811573,60,1
23849,1825393,60,1
23849,3550643,60,1
23849,6769988,60,1
23849,4688091,60,1
23849,8466750,60,1
23849,2132534,60,1
23849,7431268,60,1
23849,1295848,60,1
23849,7736747,60,1
23849,891365,60,1
23849,6739225,55,1
23849,8133127,50,1
23849,1449785,50,1
23849,2063280,50,1
23849,2466882,50,1
23849,293608,50,1
23849,1113803,50,1
23849,8723108,50,1
23849,1562442,50,1
23849,4844981,50,1
23849,5363400,50,1
23849,8466748,50,1
23849,2199035,45,1
23849,3181495,40,1
23849,5925321,40,1
23849,490331,30,1
23849,2674124,20,1
23849,4091550,95,0
23849,6722890,95,0
23849,8293999,95,0
23849,1170902,95,0
23849,3185492,95,0
23849,421164,95,0
23849,727869,95,0
23849,273820,95,0
23849,4190254,95,0
23849,7120002,90,0
23849,2204433,90,0
23849,3744747,90,0
23849,6041916,90,0
23849,1680203,90,0
23849,641196,90,0
23849,8636113,90,0
23849,3643765,80,0
23849,7685265,75,0
23849,3654335,70,0
23849,892160,40,0
23849,6667419,0,0
23849,8549434,0,0
23849,6728787,0,0
156498,4273419,95,2
156498,8648975,95,2
156498,3301563,95,2
156498,1663164,95,2
156498,5043014,95,2
156498,7300615,95,2
156498,3669926,95,2
156498,1066785,95,2
156498,645636,95,2
156498,494572,95,2
156498,494571,95,2
156498,3301559,90,2
156498,104801,90,2
156498,4960216,90,2
156498,4273410,90,2
156498,104803,90,2
156498,4273412,90,2
156498,1575717,90,2
156498,3446475,90,2
156498,6648985,90,2
156498,5606983,85,2
156498,8648972,85,2
156498,6648988,85,2
156498,6819258,75,2
156498,1434103,60,2
156498,8314103,85,1
156498,3397580,85,1
156498,7807890,85,1
156498,1584048,85,1
156498,7075146,80,1
156498,4767873,80,1
156498,2079878,80,1
156498,1406647,75,1
156498,1575716,75,1
156498,8606129,75,1
156498,172094,75,1
156498,3397578,70,1
156498,104800,70,1
156498,1118223,70,1
156498,3852379,70,1
156498,603431,70,1
156498,3397576,70,1
156498,2206872,65,1
156498,3669928,60,1
156498,8615228,60,1
156498,5230808,60,1
156498,4325222,60,1
156498,6460157,60,1
156498,1434101,60,1
156498,4960218,60,1
156498,2427094,55,1
156498,8615231,50,1
156498,5670872,50,1
156498,307019,50,1
156498,1615199,50,1
156498,1998237,50,1
156498,5820818,50,1
156498,2126091,30,1
156498,3288005,20,1
156498,7835392,20,1
156498,8238887,20,1
156498,7585248,20,1
156498,7781695,10,1
156498,2427097,99,0
156498,584835,98,0
156498,8146073,95,0
156498,6351772,95,0
156498,6648982,95,0
156498,182690,95,0
156498,3287997,95,0
156498,4166192,95,0
156498,3397575,95,0
156498,6648986,95,0
156498,4325225,95,0
156498,6264236,95,0
156498,494576,90,0
156498,3397582,90,0
156498,3288004,90,0
156498,6351769,90,0
156498,7456851,90,0
156498,6351773,90,0
156498,1663169,90,0
156498,3852372,90,0
156498,6871676,90,0
156498,8439464,90,0
156498,3397583,90,0
156498,8615224,90,0
156498,6648984,90,0
156498,6792607,90,0
156498,7807893,90,0
156498,6648981,90,0
156498,841995,90,0
156498,1564664,90,0
156498,1575718,90,0
156498,5043013,80,0
156498,5606985,75,0
156498,8823842,75,0
156498,3109234,70,0
156498,6555091,10,0
156498,1354420,0,0
258062,3695217,95,2
258062,2087378,95,2
258062,4155912,95,2
258062,4174307,95,2
258062,3777930,95,2
258062,6347133,95,2
258062,5134732,95,2
258062,91493,90,2
258062,4159145,90,2
258062,4159344,90,2
258062,18103,90,2
258062,7068638,90,2
258062,3195767,90,2
258062,4174308,90,2
258062,4174306,90,2
258062,4159140,90,2
258062,4595794,90,2
258062,4595795,90,2
258062,2707014,90,2
258062,5810936,90,2
258062,2940182,90,2
258062,3404354,90,2
258062,5810937,90,2
258062,923624,90,2
258062,8694161,85,2
258062,4174313,85,2
258062,3777927,85,2
258062,4901878,85,2
258062,5326260,85,2
258062,3012167,80,2
258062,7068640,80,2
258062,2009233,80,2
258062,8694158,70,2
258062,5456429,90,1
258062,3947004,85,1
258062,3807312,85,1
258062,2009235,85,1
258062,7344533,85,1
258062,3404355,85,1
258062,3683402,80,1
258062,639084,80,1
258062,3807311,80,1
258062,4159345,80,1
258062,7450543,80,1
258062,7918982,80,1
258062,4174309,80,1
258062,756978,80,1
258062,4610034,80,1
258062,387592,80,1
258062,3777936,75,1
258062,63211,75,1
258062,7821393,75,1
258062,60526,75,1
258062,5179887,75,1
258062,6643803,75,1
258062,4159137,70,1
258062,7335250,70,1
258062,7918984,70,1
258062,1311743,70,1
258062,1139497,70,1
258062,7532084,65,1
258062,3132005,60,1
258062,7573918,60,1
258062,7450542,60,1
258062,7450550,60,1
258062,4595262,60,1
258062,60522,60,1
258062,2009237,60,1
258062,5131173,60,1
258062,6382557,55,1
258062,7655249,50,1
258062,5598944,50,1
258062,1990209,50,1
258062,2898171,50,1
258062,1990214,50,1
258062,8293525,40,1
258062,352037,30,1
258062,5968758,20,1
258062,7335249,100,0
258062,8242299,100,0
258062,7526527,99,0
258062,5677369,99,0
258062,6643808,99,0
258062,5060031,95,0
258062,2875425,95,0
258062,3159992,95,0
258062,3672507,95,0
258062,3984587,95,0
258062,6643805,95,0
258062,5556800,95,0
258062,6486786,95,0
258062,3297029,90,0
258062,5598947,90,0
258062,5671977,90,0
258062,6059047,90,0
258062,18100,90,0
258062,63216,85,0
258062,2707010,70,0
258062,639079,70,0
258062,4595267,0,0
1071750,3928913,90,3
1071750,3928916,98,2
1071750,3575934,95,2
1071750,8698274,95,2
1071750,8698273,95,2
1071750,4717401,95,2
1071750,8698271,95,2
1071750,8698272,95,2
1071750,8698276,90,2
1071750,8378383,90,2
1071750,8698268,90,2
1071750,8698275,90,2
1071750,3016482,90,2
1071750,4133644,90,2
1071750,3850956,90,2
1071750,8378390,85,2
1071750,8378389,80,2
1071750,3928914,80,2
1071750,8378387,80,2
1071750,6508499,80,2
1071750,3719926,85,1
1071750,6508491,80,1
1071750,7018752,80,1
1071750,8698270,80,1
1071750,4094989,80,1
1071750,3928921,80,1
1071750,8698269,75,1
1071750,8378388,75,1
1071750,3928915,75,1
1071750,8378382,70,1
1071750,27185,70,1
1071750,6508493,65,1
1071750,4133640,65,1
1071750,8378385,60,1
1071750,8378384,60,1
1071750,5510450,40,1
1071750,8017974,40,1
1071750,8378386,20,1
1071750,4094991,20,1
1071750,476679,20,1
1071750,4360128,20,1
1071750,3719923,10,1
1071750,8837248,100,0
1071750,4360127,100,0
1071750,6083597,100,0
1071750,5510451,99,0
1071750,6330792,99,0
1071750,5032111,99,0
1071750,4939145,99,0
1071750,962661,99,0
1071750,3993789,99,0
1071750,8017976,99,0
1071750,2850069,99,0
1071750,7850927,99,0
1071750,2840405,99,0
1071750,574320,99,0
1071750,3014192,99,0
1071750,8783990,99,0
1071750,8017968,99,0
1071750,7003298,99,0
1071750,8783991,99,0
1071750,3928917,95,0
1071750,7018757,95,0
1071750,5510448,95,0
1071750,3795928,95,0
1071750,6335907,95,0
1071750,4094990,95,0
1071750,7410371,95,0
1071750,6733548,95,0
1071750,7141605,95,0
1071750,3042781,95,0
1071750,8017973,95,0
1071750,8017972,95,0
1071750,7677637,95,0
1071750,3136366,95,0
1071750,6359062,95,0
1071750,208979,95,0
1071750,5377244,95,0
1071750,208982,95,0
1071750,3016481,90,0
1071750,7018750,90,0
1071750,7421125,90,0
1071750,3214951,90,0
1071750,6138962,90,0
1071750,7790571,90,0
1071750,3306573,90,0
1071750,7778577,80,0
1071750,3086979,80,0
1071750,3318540,80,0
1071750,3016483,1,0
1071750,3930532,1,0
1071750,331170,0,0
1071750,2562017,0,0
1071750,8804338,0,0
1071750,6983633,0,0
1071750,2012614,0,0
1071750,1628597,0,0
1071750,90474,0,0
1071750,3335529,0,0
1071750,5047600,0,0
67316,6764669,95,2
67316,6680964,90,2
67316,8322645,90,2
67316,5195161,90,2
67316,6813041,90,2
67316,7112302,85,2
67316,7630885,85,2
67316,7323071,85,2
67316,6179107,80,2
67316,2268657,75,2
67316,4085262,70,2
67316,6764668,70,2
67316,1114355,90,1
67316,5181841,85,1
67316,7513151,85,1
67316,6764673,85,1
67316,964173,80,1
67316,8423873,80,1
67316,6764675,80,1
67316,4922572,80,1
67316,3063530,80,1
67316,2173083,80,1
67316,8333879,80,1
67316,3679350,80,1
67316,7688987,75,1
67316,6905735,75,1
67316,3679358,75,1
67316,6290080,75,1
67316,1862954,75,1
67316,6116679,75,1
67316,6190971,75,1
67316,6764671,70,1
67316,8431632,70,1
67316,3810719,70,1
67316,866739,70,1
67316,1325092,70,1
67316,6905739,70,1
67316,6179111,70,1
67316,8806125,70,1
67316,3272839,70,1
67316,8773687,70,1
67316,2273934,70,1
67316,5029981,70,1
67316,5695908,70,1
67316,4245166,70,1
67316,481471,70,1
67316,8431637,60,1
67316,6190970,60,1
67316,450309,60,1
67316,8003840,60,1
67316,6290074,60,1
67316,1408563,60,1
67316,6179106,60,1
67316,2169133,60,1
67316,7993389,60,1
67316,6764674,60,1
67316,4163707,60,1
67316,3694448,60,1
67316,8285748,60,1
67316,7786606,60,1
67316,7563006,60,1
67316,6683215,60,1
67316,4163705,50,1
67316,4252546,50,1
67316,6290078,50,1
67316,7330184,50,1
67316,1913,50,1
67316,2426305,50,1
67316,6509337,50,1
67316,8534315,50,1
67316,973226,30,1
67316,3519736,20,1
67316,5640235,95,0
67316,4180169,95,0
67316,6764676,95,0
67316,1320687,95,0
