query_id,relevance_docid,weighted_avg_score
44,fcff81a7-2019-04-18T17:19:43Z-00000-000,2
44,fcff81a7-2019-04-18T17:19:43Z-00001-000,1.481012658
44,9df1ccdc-2019-04-18T17:38:07Z-00005-000,0.666666667
44,5666d2e5-2019-04-18T12:54:00Z-00002-000,0.342465753
44,1b4be3e0-2019-04-18T12:49:26Z-00001-000,0.159090909
44,470ed1f-2019-04-18T19:34:46Z-00005-000,0.137931034
44,5fa207c6-2019-04-18T17:59:10Z-00002-000,0.116550117
44,a1b052be-2019-04-18T20:00:52Z-00002-000,0.11627907
44,481724c0-2019-04-18T17:05:27Z-00002-000,0.06779661
44,e8dd2df4-2019-04-18T13:19:43Z-00005-000,0.066666667
44,b38b6b92-2019-04-18T13:11:31Z-00002-000,0
44,7068d2b9-2019-04-18T18:58:24Z-00004-000,0
44,e95c9f90-2019-04-18T13:42:54Z-00005-000,0
44,5fa207c6-2019-04-18T17:59:10Z-00001-000,0
44,7068d2b9-2019-04-18T18:58:24Z-00001-000,0
44,5666d2e5-2019-04-18T12:54:00Z-00001-000,0
44,a9586a5-2019-04-18T15:18:07Z-00001-000,0
44,6828d553-2019-04-18T18:48:24Z-00005-000,0
44,89476a25-2019-04-18T12:55:29Z-00003-000,0
44,9016a55d-2019-04-18T14:01:54Z-00002-000,0
44,7e1d77e4-2019-04-18T13:19:36Z-00004-000,0
44,790c6317-2019-04-18T14:20:46Z-00002-000,0
44,9df1ccfb-2019-04-18T17:35:14Z-00007-000,0
44,2080394b-2019-04-18T15:35:04Z-00004-000,0
44,d0f38086-2019-04-18T18:59:05Z-00002-000,0
44,4f3adbc7-2019-04-18T12:51:25Z-00002-000,0
44,2080394b-2019-04-18T15:35:04Z-00003-000,0
44,2092a3f-2019-04-18T18:34:37Z-00002-000,0
44,470ed1f-2019-04-18T19:34:46Z-00003-000,0
44,2080394b-2019-04-18T15:35:04Z-00002-000,0
44,[],0
45,ce686c60-2019-04-18T17:24:46Z-00004-000,3
45,19444029-2019-04-18T16:04:23Z-00005-000,2.195652174
45,3207095a-2019-04-18T16:54:39Z-00002-000,2
45,8ce6be05-2019-04-18T16:30:30Z-00002-000,2
