query_id,relevance_docid,score,confidence
44,9df1ccdc-2019-04-18T17:38:07Z-00003-000,2,95
44,b7d8dba7-2019-04-18T19:42:33Z-00005-000,2,93
44,fcff81a7-2019-04-18T17:19:43Z-00000-000,2,90
44,4ce497c-2019-04-15T20:22:56Z-00023-000,2,87
44,a4b5fda8-2019-04-18T11:11:55Z-00002-000,2,86
44,a1b052be-2019-04-18T20:00:52Z-00002-000,1,80
44,e8dd2df4-2019-04-18T13:19:43Z-00004-000,1,75
44,fcff81a7-2019-04-18T17:19:43Z-00001-000,1,70
44,7068d2b9-2019-04-18T18:58:24Z-00005-000,1,68.8
44,9df1ccdc-2019-04-18T17:38:07Z-00005-000,1,68.8
44,5e30e768-2019-04-18T19:07:13Z-00000-000,1,65
44,1b4be3e0-2019-04-18T12:49:26Z-00002-000,1,56.7
44,1548d023-2019-04-18T19:08:11Z-00001-000,1,56.2
44,9df1ccfb-2019-04-18T17:35:14Z-00007-000,0,96.2
44,6937d4fe-2019-04-18T19:21:59Z-00000-000,0,96
44,1a514fda-2019-04-17T11:47:23Z-00078-000,0,95.8
44,a0d583a1-2019-04-18T18:34:54Z-00004-000,0,95.8
44,ae9b7ec5-2019-04-18T18:42:20Z-00003-000,0,95.8
44,6828d553-2019-04-18T18:48:24Z-00004-000,0,95.6
44,ec580f43-2019-04-18T19:58:39Z-00002-000,0,95.6
44,ec580f43-2019-04-18T19:58:39Z-00004-000,0,95.4
44,9df1ccfb-2019-04-18T17:35:14Z-00004-000,0,95.2
44,e195db50-2019-04-18T18:33:03Z-00000-000,0,94.8
44,f84a076a-2019-04-18T17:58:04Z-00001-000,0,94.8
44,2092a3f-2019-04-18T18:34:37Z-00002-000,0,94.6
44,9016a55d-2019-04-18T14:01:54Z-00003-000,0,94.6
44,9df1ccfb-2019-04-18T17:35:14Z-00003-000,0,94.6
44,7068d2b9-2019-04-18T18:58:24Z-00002-000,0,94
44,9924807c-2019-04-18T17:01:53Z-00000-000,0,94
44,a9586a5-2019-04-18T15:18:07Z-00001-000,0,93.8
44,b38b6b92-2019-04-18T13:11:31Z-00002-000,0,93.8
44,e7885ee5-2019-04-18T18:59:11Z-00001-000,0,93.8
44,9df1ccdc-2019-04-18T17:38:07Z-00002-000,0,93.3
44,cfd5ba5f-2019-04-18T14:18:09Z-00002-000,0,93.2
44,4f3adbc7-2019-04-18T12:51:25Z-00000-000,0,93
44,7c0b669f-2019-04-18T18:19:34Z-00001-000,0,93
44,f84a076a-2019-04-18T17:58:04Z-00000-000,0,93
44,1548d023-2019-04-18T19:08:11Z-00002-000,0,92.5
44,470ed1f-2019-04-18T19:34:46Z-00005-000,0,92.5
44,a9586a5-2019-04-18T15:18:07Z-00000-000,0,92.2
44,4f3adbc7-2019-04-18T12:51:25Z-00002-000,0,92
44,5fa207c6-2019-04-18T17:59:10Z-00000-000,0,92
44,e85f616c-2019-04-18T11:55:42Z-00005-000,0,91.8
44,6828d553-2019-04-18T18:48:24Z-00003-000,0,91.5
44,1b4be3e0-2019-04-18T12:49:26Z-00001-000,0,91.2
44,5edc9da-2019-04-18T11:14:48Z-00001-000,0,90
44,5fa207c6-2019-04-18T17:59:10Z-00002-000,0,90
44,f152a8e1-2019-04-18T15:33:45Z-00001-000,0,90
44,5edc9da-2019-04-18T11:14:48Z-00002-000,0,89
44,2080394b-2019-04-18T15:35:04Z-00004-000,0,88.8
44,5666d2e5-2019-04-18T12:54:00Z-00002-000,0,88.8
44,b38b6b92-2019-04-18T13:11:31Z-00000-000,0,87.5
44,63b4a1cb-2019-04-18T13:13:54Z-00005-000,0,87.2
44,ee035c98-2019-04-18T14:11:59Z-00003-000,0,87.2
44,eb5233c9-2019-04-18T15:04:28Z-00002-000,0,87
44,89476a25-2019-04-18T12:55:29Z-00003-000,0,86.6
44,2080394b-2019-04-18T15:35:04Z-00003-000,0,86
44,63b4a1cb-2019-04-18T13:13:54Z-00001-000,0,86
44,5edc9da-2019-04-18T11:14:48Z-00003-000,0,85
44,c2dd898d-2019-04-18T18:56:27Z-00000-000,0,85
44,7068d2b9-2019-04-18T18:58:24Z-00001-000,0,84.8
44,e3581e77-2019-04-18T17:20:48Z-00002-000,0,84.8
44,e95c9f90-2019-04-18T13:42:54Z-00005-000,0,84
44,470ed1f-2019-04-18T19:34:46Z-00000-000,0,83.8
44,5fa207c6-2019-04-18T17:59:10Z-00001-000,0,82
44,df6622c4-2019-04-18T19:14:19Z-00000-000,0,81.8
44,1548d023-2019-04-18T19:08:11Z-00000-000,0,80.8
44,2cd6df55-2019-04-18T19:41:21Z-00002-000,0,79.8
44,d0f38086-2019-04-18T18:59:05Z-00003-000,0,78.8
44,f7711589-2019-04-18T19:14:27Z-00004-000,0,76.8
44,790c6317-2019-04-18T14:20:46Z-00002-000,0,76.6
44,481724c0-2019-04-18T17:05:27Z-00002-000,0,76.6
44,9df1ccfb-2019-04-18T17:35:14Z-00006-000,0,75.8
44,9df1ccfb-2019-04-18T17:35:14Z-00005-000,0,74
44,d0f38086-2019-04-18T18:59:05Z-00002-000,0,73.8
44,c2dd898d-2019-04-18T18:56:27Z-00001-000,0,73
44,df6622c4-2019-04-18T19:14:19Z-00005-000,0,73
44,c56b5c73-2019-04-18T17:57:10Z-00002-000,0,72.8
44,7e1d77e4-2019-04-18T13:19:36Z-00004-000,0,72.6
44,ec580f43-2019-04-18T19:58:39Z-00001-000,0,72.5
44,70011e98-2019-04-18T18:24:43Z-00001-000,0,71.8
44,9016a55d-2019-04-18T14:01:54Z-00002-000,0,59
44,7c0b669f-2019-04-18T18:19:34Z-00000-000,0,58
44,419ec682-2019-04-18T12:10:32Z-00001-000,0,56.6
44,d05568dd-2019-04-18T12:40:34Z-00000-000,0,56
44,70b9e02c-2019-04-18T20:01:08Z-00004-000,0,55
44,2db5fce7-2019-04-18T13:17:49Z-00004-000,0,53.6
44,c56b5c73-2019-04-18T17:57:10Z-00004-000,0,51.2
44,790c6317-2019-04-18T14:20:46Z-00001-000,0,48.3
44,470ed1f-2019-04-18T19:34:46Z-00003-000,0,46.7
44,5666d2e5-2019-04-18T12:54:00Z-00001-000,0,43.8
44,ec580f43-2019-04-18T19:58:39Z-00003-000,0,41
44,e8dd2df4-2019-04-18T13:19:43Z-00005-000,0,36
44,6828d553-2019-04-18T18:48:24Z-00005-000,0,23.8
44,3a618f08-2019-04-18T13:21:20Z-00001-000,0,20
44,ba4be848-2019-04-18T15:33:48Z-00003-000,0,0
44,2080394b-2019-04-18T15:35:04Z-00002-000,0,
44,55c05f7c-2019-04-18T15:19:28Z-00003-000,0,
44,7068d2b9-2019-04-18T18:58:24Z-00004-000,0,
44,992b0216-2019-04-18T14:30:54Z-00001-000,0,
45,ce686c60-2019-04-18T17:24:46Z-00004-000,3,95.2
45,5dbc32e9-2019-04-18T13:24:41Z-00003-000,2,95.5
45,540788cc-2019-04-18T15:19:54Z-00003-000,2,95
45,540788cc-2019-04-18T15:19:54Z-00004-000,2,95
45,652f23f4-2019-04-18T17:28:19Z-00004-000,2,95
45,35161051-2019-04-18T12:33:43Z-00005-000,2,94
45,7c26af48-2019-04-18T14:43:09Z-00001-000,2,94
45,7c26af48-2019-04-18T14:43:09Z-00002-000,2,94
45,953ebf14-2019-04-18T15:12:14Z-00004-000,2,94
45,ce686c60-2019-04-18T17:24:46Z-00006-000,2,94
45,652f23f4-2019-04-18T17:28:19Z-00005-000,2,93.6
45,2fa2d5d5-2019-04-18T19:44:52Z-00007-000,2,93.3
45,540788cc-2019-04-18T15:19:54Z-00005-000,2,93.3
45,19444029-2019-04-18T16:04:23Z-00005-000,2,93
45,1a13d72d-2019-04-18T18:34:18Z-00004-000,2,93
45,540788cc-2019-04-18T15:19:54Z-00000-000,2,93
45,540788cc-2019-04-18T15:19:54Z-00001-000,2,93
45,87bd157b-2019-04-18T13:37:52Z-00005-000,2,93
45,8ce6be05-2019-04-18T16:30:30Z-00002-000,2,93
45,652f23f4-2019-04-18T17:28:19Z-00001-000,2,93
45,652f23f4-2019-04-18T17:28:19Z-00007-000,2,93
45,b59a9ba7-2019-04-18T11:38:43Z-00000-000,2,93
45,f143e2ae-2019-04-18T19:44:22Z-00001-000,2,93
45,f143e2ae-2019-04-18T19:44:22Z-00004-000,2,93
45,21311659-2019-04-18T12:07:50Z-00001-000,2,92.5
45,5675061e-2019-04-19T12:44:46Z-00001-000,2,92.5
45,64d27e41-2019-04-18T19:38:48Z-00004-000,2,92.5
45,8ce6be05-2019-04-18T16:30:30Z-00001-000,2,92.5
45,2e7d8f78-2019-04-18T16:06:39Z-00001-000,2,92
45,3a3f4e49-2019-04-18T15:16:14Z-00004-000,2,92
45,8bcc4a46-2019-04-18T17:43:27Z-00003-000,2,92
45,ab7e692e-2019-04-18T19:08:57Z-00000-000,2,92
45,1a13d72d-2019-04-18T18:34:18Z-00000-000,2,91.8
45,3a3f4e49-2019-04-18T15:16:14Z-00002-000,2,91.7
45,2fa2d5d5-2019-04-18T19:44:52Z-00005-000,2,91.6
45,35161051-2019-04-18T12:33:43Z-00003-000,2,91.2
45,5c2fb364-2019-04-18T19:07:11Z-00003-000,2,91.2
45,3a3f4e49-2019-04-18T15:16:14Z-00003-000,2,91.2
45,42633cc5-2019-04-18T16:25:30Z-00007-000,2,91.2
45,64d27e41-2019-04-18T19:38:48Z-00002-000,2,91.2
45,922d439b-2019-04-18T19:30:51Z-00002-000,2,91.2
45,953ebf14-2019-04-18T15:12:14Z-00005-000,2,91.2
45,3207095a-2019-04-18T16:54:39Z-00002-000,2,91
45,1a13d72d-2019-04-18T18:34:18Z-00003-000,2,91
45,540788cc-2019-04-18T15:19:54Z-00002-000,2,91
45,3207095a-2019-04-18T16:54:39Z-00001-000,2,91
45,35161051-2019-04-18T12:33:43Z-00002-000,2,91
45,953ebef5-2019-04-18T15:39:05Z-00007-000,2,91
45,ce686c60-2019-04-18T17:24:46Z-00003-000,2,91
45,2e7d8f78-2019-04-18T16:06:39Z-00000-000,2,90
45,2fa2d5d5-2019-04-18T19:44:52Z-00004-000,2,90
45,35161051-2019-04-18T12:33:43Z-00001-000,2,90
45,652f23f4-2019-04-18T17:28:19Z-00000-000,2,90
45,652f23f4-2019-04-18T17:28:19Z-00002-000,2,90
45,7c26af48-2019-04-18T14:43:09Z-00000-000,2,90
45,c5a30943-2019-04-18T16:06:11Z-00000-000,2,90
45,953ebef5-2019-04-18T15:39:05Z-00006-000,2,88.8
45,5c2fb364-2019-04-18T19:07:11Z-00005-000,2,88
45,8ce6be05-2019-04-18T16:30:30Z-00003-000,2,86.7
45,141e3960-2019-04-18T15:20:37Z-00001-000,2,86
45,922d439b-2019-04-18T19:30:51Z-00003-000,2,85
45,1a13d72d-2019-04-18T18:34:18Z-00002-000,1,75
45,3a3f4e49-2019-04-18T15:16:14Z-00001-000,1,73.8
45,953ebf14-2019-04-18T15:12:14Z-00003-000,1,67.5
45,35161051-2019-04-18T12:33:43Z-00004-000,0,96.7
45,eaad08c9-2019-04-18T17:57:20Z-00002-000,0,95.8
45,1a13d72d-2019-04-18T18:34:18Z-00001-000,0,95
45,42633cc5-2019-04-18T16:25:30Z-00004-000,0,95
45,d01db48f-2019-04-18T18:31:13Z-00005-000,0,94.8
45,1a13d72d-2019-04-18T18:34:18Z-00005-000,0,93
45,44af1608-2019-04-18T13:01:07Z-00001-000,0,93
45,261deb04-2019-04-18T13:26:46Z-00002-000,0,91.7
45,2684c983-2019-04-18T12:38:00Z-00003-000,0,91.7
45,afb33354-2019-04-18T19:42:37Z-00001-000,0,91.2
45,261deb04-2019-04-18T13:26:46Z-00000-000,0,90
45,35161051-2019-04-18T12:33:43Z-00000-000,0,90
45,42633cc5-2019-04-18T16:25:30Z-00002-000,0,88
45,5c2fb364-2019-04-18T19:07:11Z-00004-000,0,87.5
45,64d27e41-2019-04-18T19:38:48Z-00005-000,0,87.5
45,261deb04-2019-04-18T13:26:46Z-00001-000,0,81.2
45,64d27e41-2019-04-18T19:38:48Z-00001-000,0,80
45,8ce6be05-2019-04-18T16:30:30Z-00004-000,0,80
45,8ce6be05-2019-04-18T16:30:30Z-00000-000,0,78.3
45,261deb04-2019-04-18T13:26:46Z-00003-000,0,76.2
45,5675061e-2019-04-19T12:44:46Z-00000-000,0,74
45,62e38fb7-2019-04-18T18:46:31Z-00001-000,0,72.8
45,717f527d-2019-04-18T16:44:51Z-00004-000,0,72.2
45,19444029-2019-04-18T16:04:23Z-00007-000,0,70
45,64d27e41-2019-04-18T19:38:48Z-00003-000,0,68.8
45,44049fc-2019-04-18T19:49:11Z-00005-000,0,67
45,8a961be4-2019-04-18T13:49:07Z-00002-000,0,66.2
45,19444029-2019-04-18T16:04:23Z-00002-000,0,62.5
45,19444029-2019-04-18T16:04:23Z-00006-000,0,58.3
45,261deb04-2019-04-18T13:26:46Z-00004-000,0,56.7
45,261deb04-2019-04-18T13:26:46Z-00005-000,0,55
45,5c2fb364-2019-04-18T19:07:11Z-00001-000,0,51.7
45,7c26af48-2019-04-18T14:43:09Z-00004-000,0,42.5
45,c5a30943-2019-04-18T16:06:11Z-00001-000,0,36
45,2fa2d5d5-2019-04-18T19:44:52Z-00002-000,0,25
45,afb33354-2019-04-18T19:42:37Z-00003-000,0,25
46,1ae9f84e-2019-04-18T15:25:04Z-00002-000,3,96.7
46,fca1d19b-2019-04-17T11:47:27Z-00044-000,3,93.8
46,92c80a0a-2019-04-19T12:47:33Z-00011-000,3,93.3
46,1f1620a4-2019-04-18T11:54:27Z-00001-000,2,94
46,5b09f300-2019-04-18T11:54:53Z-00009-000,2,94
46,91bf368f-2019-04-18T18:58:56Z-00004-000,2,93.8
46,f5b3410d-2019-04-18T15:41:50Z-00006-000,2,93.8
46,f4864a7e-2019-04-18T19:41:08Z-00005-000,2,93.8
46,2b6ac2c3-2019-04-18T15:10:44Z-00003-000,2,93
46,41ed0b25-2019-04-18T11:53:25Z-00006-000,2,92.5
46,5b09f246-2019-04-18T16:17:57Z-00007-000,2,92.5
46,81d4eb96-2019-04-18T11:26:08Z-00002-000,2,92.5
46,92c80a0a-2019-04-19T12:47:33Z-00009-000,2,92.5
46,2b6ac2c3-2019-04-18T15:10:44Z-00005-000,2,92
46,41ed0b25-2019-04-18T11:53:25Z-00009-000,2,92
46,5b09f227-2019-04-18T20:01:38Z-00005-000,2,92
46,81d4eb96-2019-04-18T11:26:08Z-00003-000,2,92
46,91bf368f-2019-04-18T18:58:56Z-00003-000,2,92
46,91bf368f-2019-04-18T18:58:56Z-00005-000,2,92
46,fca1d19b-2019-04-17T11:47:27Z-00058-000,2,92
46,5b09f31f-2019-04-18T11:54:28Z-00003-000,2,91.7
46,fca1d19b-2019-04-17T11:47:27Z-00063-000,2,91.6
46,41ed0b25-2019-04-18T11:53:25Z-00005-000,2,91.2
46,91bf368f-2019-04-18T18:58:56Z-00000-000,2,91.2
46,92c80a0a-2019-04-19T12:47:33Z-00005-000,2,91.2
46,29a6de52-2019-04-18T19:37:33Z-00003-000,2,91
46,91bf368f-2019-04-18T18:58:56Z-00002-000,2,91
46,40a68302-2019-04-18T14:17:57Z-00002-000,2,91
46,5b09f227-2019-04-18T20:01:38Z-00003-000,2,91
46,f5b3410d-2019-04-18T15:41:50Z-00002-000,2,91
46,92c80a0a-2019-04-19T12:47:33Z-00002-000,2,91
46,92c80a0a-2019-04-19T12:47:33Z-00012-000,2,91
46,fca1d19b-2019-04-17T11:47:27Z-00037-000,2,91
46,92c80a0a-2019-04-19T12:47:33Z-00010-000,2,90.4
46,1ae9f84e-2019-04-18T15:25:04Z-00000-000,2,90
46,2b6ac2c3-2019-04-18T15:10:44Z-00002-000,2,90
46,2b6ac2c3-2019-04-18T15:10:44Z-00007-000,2,90
46,2b6ac301-2019-04-18T11:55:15Z-00001-000,2,90
46,5b09f300-2019-04-18T11:54:53Z-00007-000,2,90
46,81d4eb96-2019-04-18T11:26:08Z-00004-000,2,90
46,8c43a9f3-2019-04-18T15:14:10Z-00002-000,2,90
46,91bf368f-2019-04-18T18:58:56Z-00001-000,2,90
46,92c80a0a-2019-04-19T12:47:33Z-00006-000,2,90
46,f4864a7e-2019-04-18T19:41:08Z-00001-000,2,90
46,fca1d19b-2019-04-17T11:47:27Z-00047-000,2,90
46,32192392-2019-04-18T14:44:58Z-00003-000,2,89
46,40a68302-2019-04-18T14:17:57Z-00003-000,2,89
46,41ed0b25-2019-04-18T11:53:25Z-00008-000,2,89
46,5b09f246-2019-04-18T16:17:57Z-00005-000,2,89
46,e635989e-2019-04-15T20:24:14Z-00023-000,2,88.8
46,8c43a9f3-2019-04-18T15:14:10Z-00000-000,2,88
46,92c80a0a-2019-04-19T12:47:33Z-00007-000,2,88
46,38441d06-2019-04-15T20:24:35Z-00019-000,2,87
46,5b09f246-2019-04-18T16:17:57Z-00002-000,2,87
46,5b09f300-2019-04-18T11:54:53Z-00001-000,2,87
46,fca1d19b-2019-04-17T11:47:27Z-00064-000,2,87
46,2b6ac2c3-2019-04-18T15:10:44Z-00004-000,2,86.7
46,fca1d19b-2019-04-17T11:47:27Z-00038-000,2,86
46,5b09f31f-2019-04-18T11:54:28Z-00001-000,2,81
46,92c80a0a-2019-04-19T12:47:33Z-00018-000,2,78.8
