query_id,relevance_docid,weighted_avg_score
44,fcff81a7-2019-04-18T17:19:43Z-00000-000,2
44,b7d8dba7-2019-04-18T19:42:33Z-00005-000,2
44,4ce497c-2019-04-15T20:22:56Z-00023-000,2
44,a4b5fda8-2019-04-18T11:11:55Z-00002-000,2
44,fcff81a7-2019-04-18T17:19:43Z-00001-000,1.46835443
44,1548d023-2019-04-18T19:08:11Z-00001-000,1.296875
44,9df1ccdc-2019-04-18T17:38:07Z-00003-000,1.011363636
44,790c6317-2019-04-18T14:20:46Z-00001-000,0.816666667
44,9df1ccdc-2019-04-18T17:38:07Z-00005-000,0.743243243
44,5e30e768-2019-04-18T19:07:13Z-00000-000,0.742857143
44,7068d2b9-2019-04-18T18:58:24Z-00005-000,0.735294118
44,a1b052be-2019-04-18T20:00:52Z-00002-000,0.564705882
44,e8dd2df4-2019-04-18T13:19:43Z-00004-000,0.542168675
44,470ed1f-2019-04-18T19:34:46Z-00003-000,0.471698113
44,1b4be3e0-2019-04-18T12:49:26Z-00002-000,0.465753425
44,3a618f08-2019-04-18T13:21:20Z-00001-000,0.428571429
44,6828d553-2019-04-18T18:48:24Z-00005-000,0.387096774
44,9df1ccdc-2019-04-18T17:38:07Z-00002-000,0.363636364
44,5666d2e5-2019-04-18T12:54:00Z-00001-000,0.3
44,7c0b669f-2019-04-18T18:19:34Z-00001-000,0.291878173
44,c56b5c73-2019-04-18T17:57:10Z-00004-000,0.254545455
44,ec580f43-2019-04-18T19:58:39Z-00001-000,0.205479452
44,d0f38086-2019-04-18T18:59:05Z-00002-000,0.202702703
44,1a514fda-2019-04-17T11:47:23Z-00078-000,0.181623932
44,a9586a5-2019-04-18T15:18:07Z-00000-000,0.178173719
44,1b4be3e0-2019-04-18T12:49:26Z-00001-000,0.170454545
44,1548d023-2019-04-18T19:08:11Z-00002-000,0.168539326
44,ee035c98-2019-04-18T14:11:59Z-00003-000,0.167064439
44,2080394b-2019-04-18T15:35:04Z-00004-000,0.164705882
44,6937d4fe-2019-04-18T19:21:59Z-00000-000,0.163398693
44,5fa207c6-2019-04-18T17:59:10Z-00002-000,0.162790698
44,470ed1f-2019-04-18T19:34:46Z-00005-000,0.159090909
44,b38b6b92-2019-04-18T13:11:31Z-00000-000,0.146341463
44,5666d2e5-2019-04-18T12:54:00Z-00002-000,0.144578313
44,6828d553-2019-04-18T18:48:24Z-00003-000,0.14084507
44,cfd5ba5f-2019-04-18T14:18:09Z-00002-000,0.138568129
44,c2dd898d-2019-04-18T18:56:27Z-00000-000,0.128205128
44,63b4a1cb-2019-04-18T13:13:54Z-00005-000,0.125313283
44,4f3adbc7-2019-04-18T12:51:25Z-00002-000,0.119617225
44,e7885ee5-2019-04-18T18:59:11Z-00001-000,0.117647059
44,5edc9da-2019-04-18T11:14:48Z-00003-000,0.081081081
44,9df1ccfb-2019-04-18T17:35:14Z-00007-000,0.072289157
44,b38b6b92-2019-04-18T13:11:31Z-00002-000,0
44,7068d2b9-2019-04-18T18:58:24Z-00004-000,0
44,e95c9f90-2019-04-18T13:42:54Z-00005-000,0
44,5fa207c6-2019-04-18T17:59:10Z-00001-000,0
44,7068d2b9-2019-04-18T18:58:24Z-00001-000,0
44,a9586a5-2019-04-18T15:18:07Z-00001-000,0
44,89476a25-2019-04-18T12:55:29Z-00003-000,0
44,9016a55d-2019-04-18T14:01:54Z-00002-000,0
44,790c6317-2019-04-18T14:20:46Z-00002-000,0
44,7e1d77e4-2019-04-18T13:19:36Z-00004-000,0
44,481724c0-2019-04-18T17:05:27Z-00002-000,0
